IdUsuario, DesLogin, DesSenha, Dtcadastro
1, root, 123, 2017-10-11 12:05:26
2, Malaquias, qwerty, 2017-10-11 15:41:41
5, usuario2, 123, 2017-10-11 15:43:58
6, usuario, password, 2017-10-11 15:49:22
8, usuario, password, 2017-10-11 15:49:22
9, Professor, qwerty, 2017-10-11 15:49:22
10, usuario, password, 2017-10-13 10:04:24
11, usuario2, 123, 2017-10-13 10:04:24
12, Jose, 123456, 2017-10-17 10:23:26
13, aluno, 123456, 2017-10-19 14:26:42
14, aluno, 123456, 2017-10-19 14:26:59
15, aluno, 123456, 2017-10-19 14:27:00
16, aluno, 123456, 2017-10-19 14:27:00
17, aluno, 123456, 2017-10-19 14:27:00
18, aluno, 123456, 2017-10-19 14:27:54
19, aluno, 123456, 2017-10-19 14:27:55
20, aluno, 123456, 2017-10-19 14:27:55
21, aluno, 123456, 2017-10-19 14:27:56
22, aluno, 123456, 2017-10-19 14:27:56
23, aluno, 123456, 2017-10-19 14:27:56
24, aluno, 123456, 2017-10-19 14:27:56
25, aluno, 123456, 2017-10-19 14:28:24
26, aluno, 123456789, 2017-10-19 14:36:27
27, aluno, 123456789, 2017-10-19 14:36:28
28, aluno, 123456789, 2017-10-19 14:36:28
29, aluno, 123456789, 2017-10-19 14:36:28
30, aluno, 123456789, 2017-10-19 14:36:28
31, aluno, 123456789, 2017-10-19 14:47:14
32, aluno, 123456789, 2017-10-19 14:47:15
33, aluno, 123456789, 2017-10-19 14:47:15
34, aluno, 123456789, 2017-10-19 14:47:16
35, aluno, 123456789, 2017-10-19 14:47:16
36, aluno, 123456789, 2017-10-19 14:49:39
37, aluno, 123456789, 2017-10-19 14:51:18
38, aluno, 123456789, 2017-10-19 14:53:01
39, aluno, 123456789, 2017-10-19 14:53:05
40, aluno, 123456789, 2017-10-19 15:01:20
41, aluno, 123456789, 2017-10-19 15:01:47
42, aluno, 123456789, 2017-10-19 15:01:48
44, aluno, 123456789, 2017-10-19 15:04:07
